Sex,Year,Average,Range
Male,2009,28.6,28.6 [28.1-29.2]
Male,2008,28.6,28.6 [28.1-29.0]
Male,2007,28.5,28.5 [28.1-28.9]
Male,2006,28.4,28.4 [28.1-28.7]
Male,2005,28.3,28.3 [28.0-28.6]
Male,2004,28.2,28.2 [27.9-28.5]
Male,2003,28.1,28.1 [27.8-28.4]
Male,2002,28,28.0 [27.7-28.3]
Male,2001,27.9,27.9 [27.6-28.2]
Male,2000,27.8,27.8 [27.5-28.1]
Male,1999,27.7,27.7 [27.3-28.0]
Male,1998,27.6,27.6 [27.2-27.9]
Male,1997,27.4,27.4 [27.1-27.8]
Male,1996,27.3,27.3 [27.0-27.7]
Male,1995,27.2,27.2 [26.8-27.6]
Male,1994,27.1,27.1 [26.7-27.5]
Male,1993,27,27.0 [26.6-27.3]
Male,1992,26.8,26.8 [26.5-27.2]
Male,1991,26.7,26.7 [26.3-27.1]
Male,1990,26.7,26.6 [26.2-27.0]
Male,1989,26.5,26.5 [26.1-26.9]
Male,1988,26.3,26.3 [26.0-26.7]
Male,1987,26.2,26.2 [25.8-26.6]
Male,1986,26.1,26.1 [25.7-26.5]
Male,1985,26,26.0 [25.6-26.4]
Male,1984,25.8,25.8 [25.4-26.3]
Male,1983,25.7,25.7 [25.3-26.1]
Male,1982,25.6,25.6 [25.2-26.0]
Male,1981,25.5,25.5 [25.0-26.0]
Male,1980,25.4,25.4 [24.9-25.9]
Female,2009,28.6,28.6 [27.9-29.3]
Female,2008,28.5,28.5 [27.9-29.1]
Female,2007,28.4,28.4 [27.9-29.0]
Female,2006,28.3,28.3 [27.9-28.8]
Female,2005,28.2,28.2 [27.8-28.7]
Female,2004,28.1,28.1 [27.7-28.5]
Female,2003,28,28.0 [27.6-28.4]
Female,2002,27.9,27.9 [27.5-28.3]
Female,2001,27.8,27.8 [27.4-28.2]
Female,2000,27.6,27.6 [27.2-28.1]
Female,1999,27.5,27.5 [27.1-27.9]
Female,1998,27.4,27.4 [26.9-27.8]
Female,1997,27.2,27.2 [26.8-27.7]
Female,1996,27.1,27.1 [26.6-27.6]
Female,1995,27,27.0 [26.5-27.4]
Female,1994,26.8,26.8 [26.4-27.3]
Female,1993,26.7,26.7 [26.2-27.2]
Female,1992,26.6,26.6 [26.1-27.1]
Female,1991,26.4,26.4 [25.9-26.9]
Female,1990,26.3,26.3 [25.8-26.8]
Female,1989,26.2,26.2 [25.7-26.6]
Female,1988,26,26.0 [25.5-26.5]
Female,1987,25.9,25.9 [25.4-26.4]
Female,1986,25.7,25.7 [25.2-26.3]
Female,1985,25.6,25.6 [25.1-26.1]
Female,1984,25.5,25.5 [24.9-26.0]
Female,1983,25.3,25.3 [24.8-25.9]
Female,1982,25.3,25.2 [24.6-25.8]
Female,1981,25.1,25.1 [24.4-25.8]
Female,1980,25,25.0 [24.3-25.7]
