date,bglucose
1241923,41
1242023,42
1562156,30
32140590,32
1010540,80
1010600,90
1010600,39
1010605,40
1010610,90
1010615,200
1019054,350
32140590,366
26249609,131
4483641,303
28274552,333
11104782,108
8772321,121
11160786,356
20046753,277
22300491,197
22012063,328
17731013,390
5925371,400
12743743,108
23606184,81
7834691,325
10857021,260
28451278,85
4037695,244
31482692,142
31917982,358
24046447,93
10804133,235
29223162,54
8028585,120
14584856,221
24321388,299
26894400,150
24877026,149
31016524,263
29175697,216
24274442,285
5251511,252
13112171,85
25595807,46
3505330,79
28849344,145
27239574,395
30836530,193
24106891,358
26847480,58
20745225,217
27227601,83
10728207,61
23410265,363
12861848,175
19265857,79
7271872,134
28332358,136
27814986,132
10209361,59
22141693,304
9655691,196
22605612,90
4631274,297
28471655,380
9974467,165
19773824,380
27028436,279
22941065,338
24594190,167
14462376,204
6211979,252
21515499,45
1867343,170
1907392,210
14373854,97
22306199,348
9829229,287
6414162,141
8117557,295
30408228,340
3265538,400
25399742,333
9325413,360
4484459,156
9786060,101
30019754,170
31501697,223
23884118,235
5493472,212
14207433,347
19620742,363
3032997,198
32020103,200
17473279,330
3773663,249
22651274,111
29872896,199
20074720,338
1881089,182
4532607,332
23246227,198
18388327,217
4936625,176
12593374,155
6521032,265
14154735,348
26503034,73
25076594,197
11906961,185
14825332,338
14051699,292
23607382,110
3455224,267
29868313,185
13573151,68
31316058,144
9741206,233
7165259,384
10175539,89
8751720,329
9191998,321
17613163,134
19713510,241
18706778,122
24533702,340
14464714,378
25631467,289
29895622,361
8668740,399
17176636,171
26164484,79
6140320,279
14929752,158
10483332,281
16861876,307
28644923,191
16011153,241
8947792,284
23825513,388
4085506,210
26848575,156
30228569,340
18867751,60
8577542,48
1786410,238
29401414,368
13471362,328
12502549,366
12269111,306
28435708,76
28869388,66
15209193,243
11536802,377
17008078,289
15760567,178
15971623,147
21655976,42
2435183,122
23571866,310
4449722,345
30867105,256
16466199,121
23107564,249
2496691,332
14055215,224
18583391,207
7906802,219
24495618,108
19437612,318
13722572,144
2254331,163
26254076,278
30003939,339
21519512,288
14062480,359
32124919,296
14086914,365
8697301,341
29282634,70
30530038,251
4214488,128
25402437,382
17170763,170
10951488,66
11862969,259
17533070,294
6129175,388
7022422,134
31485010,78
7968866,179
10090923,356
11076460,253
4533463,259
14864717,174
12464744,288
11061692,108
19373184,309
8220043,186
13881698,192
30808180,202
28242615,215
7402718,149
11886697,217
10480773,94
2349718,40
13504241,88
19090835,385
29935314,82
30575080,317
30348391,47
8656396,80
3839856,222
4408293,316
7456617,322
9986678,177
4940200,308
9641558,277
4066599,330
5084212,262
8204979,262
3155587,147
9239021,68
1949006,67
6095588,227
1735940,329
7528096,289
7285423,299
2441643,112
9523542,385
3693075,211
9820503,349
6353118,299
6386034,344
7459821,125
8998989,364
7921793,325
4487600,96
8880340,347
3526692,396
6623203,71
1868487,102
9274738,55
9236931,100
7370810,199
6094710,337
4398696,68
5312099,103
4288097,270
9451915,276
4703426,88
7784249,344
2234022,172
4852885,63
2109526,394
6349526,181
4714143,183
6377852,371
4680413,112
7073594,274
3835894,189
4276451,391
5456983,381
2806064,332
5210361,263
5387250,345
6765317,76
2729152,150
3869877,237
5589065,352
9213550,322
7352457,45
9040714,60
8935763,166
3113406,260
7027634,255
7416984,264
2454735,336
8847038,305
6297846,42
9673369,177
6148616,362
9053741,273
7721408,141
4100774,89
7660609,187
3083341,362
8461571,353
2422586,121
6158070,64
4967212,243
2214385,126
4229574,269
9981847,355
1791257,216
9683492,290
7259086,299
4439086,104
2071125,93
5015414,306
4700468,379
5922496,290
6048941,84
3236721,42
4436194,397
5060132,61
6430362,164
4551987,88
2557437,218
6432736,163
6641253,150
